,pred_sin,pred_cos,truth_sin,truth_cos
208,-0.44074893,-0.40701497,-0.9210487,-1.0467969
209,-0.44308177,-0.37985078,-0.9219515,-0.9014889
210,-0.44855124,-0.46794707,-0.91923594,-0.74135584
211,-0.47911513,-0.64852864,-0.9022287,-0.7360511
212,-0.5364839,-0.38980007,-0.8670919,-0.8059235
213,-0.53288335,-0.4943333,-0.8581041,-0.7855105
214,-0.55681795,-0.43527162,-0.8465021,-0.992743
215,-0.54962665,-0.7196831,-0.84844506,-0.7092992
216,-0.6165736,-0.51288205,-0.8122311,-0.7533329
217,-0.62874776,-0.68173695,-0.79151785,-0.76738703
218,-0.6669321,-0.4224201,-0.7677549,-0.79387164
219,-0.6527411,-0.5232048,-0.7692252,-0.81749487
220,-0.6596035,-0.6891882,-0.7686201,-0.7910329
221,-0.68765014,-0.77676886,-0.75154716,-0.8240819
222,-0.7128516,-0.6722963,-0.73167336,-0.7623623
223,-0.7216867,-0.8596038,-0.7201816,-0.9243999
224,-0.738557,-0.7204575,-0.70899343,-0.7817558
225,-0.74365956,-0.5856187,-0.70140857,-0.760776
226,-0.7355025,-0.78615135,-0.70271957,-0.82973844
227,-0.74866575,-0.8318781,-0.69599235,-0.6324115
228,-0.77046853,-0.73990524,-0.6738847,-0.69346404
229,-0.7728744,-0.69276696,-0.66553783,-0.71020675
230,-0.7719496,-0.75275576,-0.6650424,-0.6306496
231,-0.78221333,-0.62326545,-0.65427303,-0.5510893
232,-0.7814211,-0.9673886,-0.6471909,-0.5744558
233,-0.81149215,-0.8186469,-0.61984223,-0.536083
234,-0.8209752,-0.8286664,-0.60219586,-0.3870208
235,-0.84123886,-0.8502262,-0.569932,-0.49823335
236,-0.85469687,-0.8173491,-0.54905945,-0.65718746
237,-0.85553753,-0.7792976,-0.54903257,-0.61536086
238,-0.85772413,-0.9292635,-0.5458405,-0.48911744
239,-0.87989044,-0.8768317,-0.5165415,-0.56812495
240,-0.88556665,-0.87730557,-0.503236,-0.39913833
241,-0.90064025,-0.8831045,-0.47460824,-0.45263156
242,-0.9078736,-0.90781516,-0.4559826,-0.37671953
243,-0.9191544,-0.7769674,-0.43161118,-0.3185288
244,-0.92044437,-0.8774549,-0.41221982,-0.18746813
245,-0.9343169,-0.99040663,-0.3735914,-0.237581
246,-0.94687873,-0.9589405,-0.34260878,-0.36651674
247,-0.9493794,-0.7836505,-0.33597234,-0.36941886
248,-0.94174916,-0.94220203,-0.33938777,-0.34634003
249,-0.948194,-0.9006048,-0.32906654,-0.27758268
250,-0.95240796,-0.9366414,-0.3119483,-0.13716917
251,-0.96228015,-0.94055516,-0.27277187,-0.17643443
252,-0.9687105,-1.0934051,-0.24416533,-0.29326847
253,-0.9782712,-1.090471,-0.23032033,-0.28870094
254,-0.9853033,-0.6976568,-0.21612372,-0.22391014
255,-0.97095156,-0.7622337,-0.21174611,-0.22484441
256,-0.9665237,-1.0570103,-0.20641302,-0.22566731
257,-0.9817471,-0.7992197,-0.18831238,-0.2678009
258,-0.9751172,-0.93845147,-0.19132744,-0.099082604
259,-0.9833319,-1.1121385,-0.15815277,-0.20448343
260,-0.9942379,-1.072694,-0.14232175,-0.19857338
261,-0.999703,-0.90855557,-0.12847368,-0.24574055
262,-0.99441963,-1.1157308,-0.12935613,-0.13157244
263,-1.0026479,-0.9311518,-0.10458198,-0.10959957
264,-1.0016097,-1.0530428,-0.085215025,-0.15158512
265,-1.0044641,-0.96464276,-0.073304474,-0.0827902
266,-1.0049082,-1.0191555,-0.053583056,-0.0060456796
267,-1.0061866,-1.1489562,-0.025012337,0.1016879
268,-1.010487,-0.8831161,0.013128277,-0.1675008
269,-1.0053562,-0.992722,0.0002242662,0.07322401
270,-1.0026829,-1.0688374,0.03019826,0.0839403
271,-1.004653,-0.9200459,0.053120784,-0.08706682
272,-1.0019721,-1.136207,0.045529068,-0.16000369
273,-1.0076406,-0.8258102,0.0310092,0.05037844
274,-0.9977273,-1.0604514,0.053489022,0.026262328
275,-0.9988647,-0.8026306,0.06394908,0.1062377
276,-0.9887837,-0.9694323,0.08772733,0.031876605
277,-0.98893994,-1.0757161,0.092657715,0.35997638
278,-0.98224574,-1.0114636,0.14935629,0.14603186
279,-0.98403037,-1.0719322,0.16001397,0.21053736
280,-0.9807565,-0.9243378,0.18073964,0.22410671
281,-0.9708938,-1.0071617,0.20446026,0.08925971
282,-0.9736623,-0.9919007,0.19973022,0.27378544
